datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
8/1/2025 5:00:00 AM,8/1/2025 1:00:00 AM,RFC,WEST,OVEC,OVEC,25.000,True
8/1/2025 5:00:00 AM,8/1/2025 1:00:00 AM,RFC,WEST,ATSI,PAPWR,455.462,True
8/1/2025 5:00:00 AM,8/1/2025 1:00:00 AM,RFC,MIDATL,PE,PE,4077.582,True
8/1/2025 5:00:00 AM,8/1/2025 1:00:00 AM,RFC,MIDATL,PEP,PEPCO,2836.003,False
8/1/2025 5:00:00 AM,8/1/2025 1:00:00 AM,RFC,MIDATL,PL,PLCO,3938.379,False
8/1/2025 5:00:00 AM,8/1/2025 1:00:00 AM,RFC,MIDATL,PN,PN,1574.686,True
8/1/2025 5:00:00 AM,8/1/2025 1:00:00 AM,RFC,MIDATL,PS,PS,4872.633,True
8/1/2025 5:00:00 AM,8/1/2025 1:00:00 AM,RFC,MIDATL,RECO,RECO,145.219,False
8/1/2025 5:00:00 AM,8/1/2025 1:00:00 AM,RFC,MIDATL,PEP,SMECO,371.895,True
8/1/2025 5:00:00 AM,8/1/2025 1:00:00 AM,RFC,MIDATL,PL,UGI,91.010,True
8/1/2025 5:00:00 AM,8/1/2025 1:00:00 AM,RFC,MIDATL,AE,VMEU,87.481,True
8/1/2025 5:00:00 AM,8/1/2025 1:00:00 AM,RTO,RTO,RTO,RTO,87160.129,False
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,RFC,MIDATL,AE,AECO,1134.984,False
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,RFC,WEST,AEP,AEPAPT,3886.899,True
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,RFC,WEST,AEP,AEPIMP,2862.095,True
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,RFC,WEST,AEP,AEPKPT,593.459,True
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,RFC,WEST,AEP,AEPOPT,6586.074,True
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,RFC,WEST,AP,AP,4812.922,True
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,RFC,MIDATL,BC,BC,3188.348,True
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,RFC,WEST,CE,CE,9685.535,True
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,RFC,WEST,DAY,DAY,1644.612,False
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,RFC,WEST,DEOK,DEOK,2548.595,False
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,SERC,SOUTH,DOM,DOM,15119.019,False
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,RFC,MIDATL,DPL,DPLCO,1914.562,False
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,RFC,WEST,DUQ,DUQ,1291.873,False
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,RFC,MIDATL,DPL,EASTON,24.566,True
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,SERC,WEST,EKPC,EKPC,1425.141,True
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,RFC,MIDATL,JC,JC,2218.707,True
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,RFC,MIDATL,ME,ME,1518.940,True
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,RFC,WEST,ATSI,OE,5813.593,True
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,RFC,WEST,OVEC,OVEC,23.000,True
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,RFC,WEST,ATSI,PAPWR,435.587,True
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,RFC,MIDATL,PE,PE,3915.864,True
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,RFC,MIDATL,PEP,PEPCO,2679.050,False
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,RFC,MIDATL,PL,PLCO,3821.980,False
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,RFC,MIDATL,PN,PN,1530.251,True
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,RFC,MIDATL,PS,PS,4679.988,True
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,RFC,MIDATL,RECO,RECO,139.473,False
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,RFC,MIDATL,PEP,SMECO,354.151,True
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,RFC,MIDATL,PL,UGI,88.254,True
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,RFC,MIDATL,AE,VMEU,84.763,True
8/1/2025 6:00:00 AM,8/1/2025 2:00:00 AM,RTO,RTO,RTO,RTO,84022.285,False
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,RFC,MIDATL,AE,AECO,1090.719,False
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,RFC,WEST,AEP,AEPAPT,3799.245,True
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,RFC,WEST,AEP,AEPIMP,2858.430,True
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,RFC,WEST,AEP,AEPKPT,579.261,True
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,RFC,WEST,AEP,AEPOPT,6436.466,True
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,RFC,WEST,AP,AP,4678.676,True
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,RFC,MIDATL,BC,BC,3087.045,True
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,RFC,WEST,CE,CE,9369.440,True
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,RFC,WEST,DAY,DAY,1605.610,False
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,RFC,WEST,DEOK,DEOK,2459.990,False
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,SERC,SOUTH,DOM,DOM,14794.579,False
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,RFC,MIDATL,DPL,DPLCO,1879.229,False
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,RFC,WEST,DUQ,DUQ,1264.305,False
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,RFC,MIDATL,DPL,EASTON,23.776,True
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,SERC,WEST,EKPC,EKPC,1243.322,True
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,RFC,MIDATL,JC,JC,2161.516,True
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,RFC,MIDATL,ME,ME,1500.412,True
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,RFC,WEST,ATSI,OE,5746.717,True
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,RFC,WEST,OVEC,OVEC,32.000,True
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,RFC,WEST,ATSI,PAPWR,435.882,True
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,RFC,MIDATL,PE,PE,3815.838,True
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,RFC,MIDATL,PEP,PEPCO,2571.279,False
